Name,AlbanyNY,AtlantaGA,AustinTX,BaltimoreMD,BatonRougeLA,BeaumontTX,BirminghamAL,BostonMA,BuffaloNY,CharlestonSC,CharlotteNC,ChicagoIL,CincinnatiOH,ClevelandOH,ColumbusOH,CorpusChristiTX,DallasTX,DaytonOH,DenverCO,DetroitMI,ElPasoTX,FortWayneIN,FresnoCA,GrandRapidsMI,GreensboroNC,GreenvilleSC,HartfordCT,HoustonTX,IndianapolisIN,JacksonvilleFL,KansasCityMO,KnoxvilleTN,LakeCharlesLA,LaredoTX,LasVegasNV,LosAngelesCA,Louisville/JeffersonCountyKY,MemphisTN,MiamiFL,MilwaukeeWI,MinneapolisMN,MobileAL,NashvilleTN,NewOrleansLA,NewYorkNY,OklahomaCityOK,OmahaNE,OrlandoFL,PhiladelphiaPA,PhoenixAZ,PittsburghPA,PortlandOR,RaleighNC,otherAL,otherAK,otherAZ,otherAR,otherCA,otherCO,otherCT,otherDE,otherFL,otherGA,otherHI,otherID,otherIL,otherIN,otherIA,otherKS,otherKY,otherLA,otherME,otherMD,otherMA,otherMI,otherMN,otherMS,otherMO,otherMT,otherNE,otherNV,otherNH,otherNM,otherNY,otherNC,otherND,otherOH,otherOK,otherOR,otherPA,otherSC,otherSD,otherTN,otherTX,otherUT,otherVT,otherVA,otherWA,otherWV,otherWI,otherWY,RichmondVA,RochesterNY,SacramentoCA,SaltLakeCityUT,SanAntonioTX,SanDiegoCA,SanJoseCA,SavannahGA,SeattleWA,St.LouisMO,TampaFL,TucsonAZ,TulsaOK,UrbanHonoluluHI,VirginiaBeachVA,WashingtonDC,WichitaKS
otherMO,,0,,,,,,0,,,,0,0,,,,1,,,,,,,,,,,,0,,2,0,,,,1,0,,,,,,,,0,,,,0,,,0,,0,,,0,,,,,,1,,,0,1,0,,0,,,,,,,12,0,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,0,,,0,0,,11,,,0,13
otherMT,,,,,,,,0,,,,0,0,,,,0,,0,,,,,,,,,,,,0,,,,,0,,,,,2,,0,0,0,,,,0,,,0,,,,,,0,0,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,3,,,,,,,,,6,,,0,,0,0,,,,0,,,,,180,0,,,,,,0,
otherNE,,,,,,,,0,,,,15,0,0,,,,,,,,0,,,,,,,,,0,0,,,,,,,,,12,,,7,0,,0,,0,,,0,,,,,,,0,,,,,,,,0,296,,0,,,,,,,,,,0,,,,,,,0,,,,,0,,0,,,,,,,,,,,0,0,,,,,0,,,,,,0,
otherNV,,,,,,,,0,,,,0,0,,,,,,0,,,,,,,,,,,,0,,,,,1,,,,,,,,,0,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,31,,,72,,,0,,,,,,0,
otherNH,,,,,,,,2,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
otherNM,,,,,,35,,0,,,,2,0,,,,65,,0,,0,2,,,,,,0,0,,0,0,,0,,0,,,,,,,,0,0,,,,0,0,,0,,0,,0,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,0,2,,0,,,0,,0,,,0,0,
otherNY,0,0,,,,,,0,90,,,13,0,9,,,,,,0,,0,,,,,,,0,,0,,,,,,,,,14,,,,18,0,,,,21,,479,0,,,,,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,581,,,79,,,18,,,,,,,,,,0,,,0,,,,,,,,0,,,,,0,0,
otherNC,,,,,,,,0,,0,51,0,0,,,,,,,9,,,,,0,0,,0,,,0,0,,,,,,,,,,,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,,0,,,,,,,,,,,,,,0,,,,,,0,
otherND,,,,,,,,0,,,,6,0,,,,,,,,,,,,,,,,0,,0,,,,,,,,,0,9,,,,0,,,,0,,,0,,,,,0,,,,,,,,,,,5,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,23,,,,,,,,,,,0,,,,,,0,
otherOH,,,,,,,,0,,0,,8,0,0,0,,0,0,,0,,0,,,,,,0,0,,0,0,,,0,,44,,,,,,,0,0,,,,0,,0,0,,0,,,0,,,,,0,,,,0,0,0,,614,,,,,0,,,,,,,,,,,,0,,,0,0,,0,,,,,,0,0,,,,,,,,,,,0,,,,,,0,
otherOK,,,,,,,,0,,,,0,0,,,,8,,,,,,,,,,,,1,,0,,,,,,,,,,,,,0,0,,,,0,,,0,,,,,,,0,,,,,,,,,0,0,0,,,,,,,,0,,,,,,,,,,4,,,,,,32,,,,,,,,,,,,,,,,,0,,,,,,0,
otherOR,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,3,,,,,,,,,0,,,,0,0,,129,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,,,,1,0,,,,,,0,
otherPA,,,,0,,,,0,4,0,0,0,0,0,0,,3,,,0,,,,,,,,0,6,,0,0,,,,0,,,,,,,0,0,65,,,,292,,0,0,,0,,,,,,,,,0,,,0,0,,,0,,,,,,,,0,,,,0,,18,0,,0,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,,,0,0,
otherSC,,113,,,,,,0,,,0,0,0,,,,,,,,,,,,,0,,,0,,0,0,,,,0,,,,,,,,0,0,,,,0,,0,0,,53,,,,,,,,,0,,,,42,,,,,,,,0,,,,,,,,,0,0,,,,,0,0,,0,,,,,,,,,0,,,,,,,0,,0,,,,,0,0,
otherSD,,,,,,,,0,,,,16,0,1,,,1,,18,,,,,,,,,0,,,1,,,,,0,,,,,0,,,0,0,,22,,0,,,0,,,,,,,,,,,,,,,,75,,0,,,,,,18,,,,0,,,,,,,0,,,,,0,,,,,,,,6,0,,,,0,,,,,,0,,,0,,,0,
otherTN,,28,,0,,,29,0,,204,0,0,0,0,0,,0,,,2,,1,,,,0,,0,0,,0,0,,,,,0,,,,,0,106,0,0,,,,0,,11,0,1,172,,,0,,,,,,0,,,,0,1,,0,,,,,,,0,0,,,,,,,1,,,,,,,,0,,,,29,,,72,,,,,,,,0,,,0,0,,,,,0,
otherTX,,,,0,,0,,0,,,,0,0,0,,,0,,,,0,,,,,,,61,0,,0,2,,0,,2,,,,,,,,0,0,0,,,0,0,,0,,,,,0,,,,,,,,,,,0,,0,5,,,,,,,,,,,,0,,,,,0,,,,,,0,,,,,,,,,,,,23,,,,,0,,,,,,0,
otherUT,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
otherVT,0,,,,,,,0,,,,0,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,25,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,
otherVA,,,,32,,,,0,,0,71,0,5,0,,,,,,,,0,,,,,,,,,0,,,,,0,0,,,,,,,,0,,,,33,,0,0,,35,,,,6,,,,,0,,,,,0,,2,,,,,,,,,,,,,,,0,,0,,,0,,,0,,,,505,,,0,,167,,,,,,,14,,6,0,,,,11,23,
otherWA,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,,0,,,66,,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,0,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,0,,225,0,,,,,,0,
otherWV,,,,,,,,0,,,0,0,0,26,19,,,,,0,,0,,,,,,,,,0,,,,,,,,,,,,,,0,,,,0,,66,0,,,,,39,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,18,,,10,,,,,,,0,,86,,,,,,,,,,,,0,,,,,0,0,
otherWI,,,,,,,,0,0,,,62,0,0,,,0,,,0,,0,,0,,,,0,0,,0,0,,,,0,,,,0,18,,,18,0,,,,0,,,0,,,,,,,,,,,,,,0,0,0,,12,,,,,0,0,,0,0,,,,,,,,0,,,0,,3,0,,,,,,,1903,,,,,,,,,,0,0,0,,,,,0,
otherWY,,,,,,,,0,,,,0,0,,,,0,,22,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,,0,,,87,,,,,,,0,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,33,,,,,,0,,,,,,0,
RichmondVA,,,,0,,,,0,,,0,0,0,0,,,26,,,,,,,,5,,,,,,0,,,,,0,,,,,,,,5,0,,,,2,,,0,,5,,,,,0,,,,,,,,0,,,,,,,,,,,,4,,,,,,0,,2,,,3,,,,,,,,,,,,0,,,0,,,,,,0,0,,,,0,0,
RochesterNY,,,,,,,,0,0,,,0,0,0,,,,,,0,,0,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,0,,,0,,,0,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,0,
SacramentoCA,,,,,,,,0,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,0,,,,,,,,,0,,,,0,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,0,,,,,,0,
SaltLakeCityUT,,,,,,,,0,,,,5,0,,,,,,,,,,,,0,,,0,,,0,,,,0,15,,,,,,,,7,0,,,,0,0,0,0,,2,,,0,,,,,,,,,,,5,,2,,,,,,,,0,7,,,,,,,,0,,,,,,0,,,,,3,,,,,,,618,,,,,,0,,,,,0,0,
SanAntonioTX,,,0,,,47,,0,,,,0,0,,,,1,,,,,,,,0,,,0,0,,0,2,,,,1,,,,,,,,0,0,,,,0,,,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,0,0,,,,,0,
SanDiegoCA,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,0,0,,,,0,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,0,,,,,,0,
SanJoseCA,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,0,,,0,0,,,,578,,,,,0,,,,0,,,,0,0,,0,,38,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,44,,,,4946,,,0,,,,,,0,
SavannahGA,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,
SeattleWA,,,,,,,,0,,,,0,0,,,,0,,,0,,,,0,,,,,,,0,,,,,0,,,,,,,,,0,,,,0,,,0,,0,0,,,,,,,,,,0,0,,,,8,,,,,,0,,,,,,,,,,,,,52,,,0,,,,,,0,,,,,,16,0,,,33,,1844,0,,,,,0,0,
St.LouisIL,6,0,0,0,0,0,0,0,0,0,0,221,26,4,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,128,15,0,0,0,0,2,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,5,0,0,0,8,0,0
TampaFL,,,,,,,0,0,0,3,,0,0,,,,0,,,0,,0,,,,,,0,,22,0,0,,,,1,0,0,,,,0,0,,0,,,0,0,,0,0,,3,,,,,,,,0,6,,,,,1,,0,,,,0,,,0,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,0,,0,0,,,,,0,
TucsonAZ,,,,,,,,0,,,,0,0,,,,0,,,,,,,,,,,,,,0,,,4,,41,,,,,,,,7,0,,,,0,307,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,0,
TulsaOK,,,,,,,20,0,,,,0,0,,,,6,,,,,,,,,,,1,,,0,,,,,,,0,,,,,,3,0,,,,,,,0,,,,,17,,,,,,,,,,,0,,,2,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,17,,,0,
UrbanHonoluluHI,,,,,,,,0,,,,0,0,,,,,,,,,,,,1,,,,,,0,,,,,0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,65,,0,
VirginiaBeachVA,,0,,0,,,,0,,0,0,0,0,1,,,,,,0,,0,,,0,0,,0,41,,0,0,,,,,0,,,,,,0,,0,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,0,,1,,,,,,,,,,,0,,,,,0,0,,0,,,,0,,,,,86,,,,,,,,,0,,,,,0,0,
WashingtonDC,0,0,0,61,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,0,0,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,62,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,6,574,0
WichitaKS,,0,,,,,,,,,,,0,5,,,0,,,,,,,,,,,0,0,,0,,,,,6,,,0,,,,,,,,,,,,,,,16,,,90,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,12,0,,2,,,,0
